Subscription,Name,Type,Category,Description,PotentialBenefits,Risk,LearnMoreLink
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,8d2c636f-918d-4ef6-8454-8f5f4b086e72,Microsoft.Subscriptions/subscriptions,HighAvailability,Create an Azure Service Health alert,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Maya01-vm01_OsDisk_1_288aebbc91334375a77a78ec91ea8c1d,MICROSOFT.COMPUTE/DISKS,HighAvailability,Use Azure Disks with Zone Redundant Storage for higher resiliency and availability,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,SecLab-VM01_OsDisk_1_88c2f1cd4c8849ababac7a9a3b2583df,MICROSOFT.COMPUTE/DISKS,HighAvailability,Use Azure Disks with Zone Redundant Storage for higher resiliency and availability,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,azurebrains,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,globalai,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,utopiabar,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,stazurebrain079813324935,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cs48d2c636f918dx4ef6x845,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,contosochatsa,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,stcontosokrcmojyj45dxq,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,steuropeaihu797433845466,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,sagenailab,Microsoft.Storage/storageAccounts,HighAvailability,Enable Soft Delete to protect your blob data,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,globalai-vnet,MICROSOFT.NETWORK/VIRTUALNETWORKS,HighAvailability,Use NAT gateway for outbound connectivity,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,globalaies-0f21c57227-vnet,MICROSOFT.NETWORK/VIRTUALNETWORKS,HighAvailability,Use NAT gateway for outbound connectivity,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,telegram-proxy-vm01-vnet,MICROSOFT.NETWORK/VIRTUALNETWORKS,HighAvailability,Use NAT gateway for outbound connectivity,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,telegram-proxy-vm01,MICROSOFT.COMPUTE/VIRTUALMACHINES,HighAvailability,Enable Backups on your Virtual Machines,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cosmos-contosokrcmojyj45dxq,microsoft.documentdb/databaseaccounts,OperationalExcellence,Improve resiliency by migrating your Azure Cosmos DB accounts to continuous backup,,,
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,contoso-chat-cosdb,microsoft.documentdb/databaseaccounts,OperationalExcellence,Improve resiliency by migrating your Azure Cosmos DB accounts to continuous backup,,,
